comic,character
Moon Knight (2021) #1,Moon Knight
X-Men Red (2022) #1,Agent Brand
X-Men Red (2022) #1,Cable
X-Men Red (2022) #1,Magneto
X-Men Red (2022) #1,Storm
X-Men Red (2022) #1,Sunspot
X-Men Red (2022) #1,Vulcan (Gabriel Summers)
Pulse (2004) #14,Iron Fist (Danny Rand)
Pulse (2004) #14,Jessica Jones
Pulse (2004) #14,Luke Cage
Iceman (2017) #1,Iceman
New X-Men (2001) #150,Beak
New X-Men (2001) #150,Beast
New X-Men (2001) #150,Cyclops
New X-Men (2001) #150,Emma Frost
New X-Men (2001) #150,Fantomex
New X-Men (2001) #150,Magneto
New X-Men (2001) #150,New X-Men
New X-Men (2001) #150,X-Men
Iron Man (1968) #150,Iron Man
Zombies Assemble (2017) #2 (Horn Variant),Iron Man
Zombies Assemble (2017) #2 (Horn Variant),Marvel Zombies
Zombies Assemble (2017) #2 (Horn Variant),Thor
X-Statix Presents: Dead Girl (2006) #4,X-Statix
X-Statix Presents: Dead Girl (2006) #3,X-Statix
X-Statix Presents: Dead Girl (2006) #2,Doctor Strange
X-Statix Presents: Dead Girl (2006) #2,X-Men
X-Statix Presents: Dead Girl (2006) #2,X-Statix
X-Statix Presents: Dead Girl (2006) #1,Dead Girl
X-Statix Presents: Dead Girl (2006) #1,Doctor Strange
X-Statix Presents: Dead Girl (2006) #1,Gwen Stacy
X-Statix Presents: Dead Girl (2006) #1,Norman Osborn
X-Statix Presents: Dead Girl (2006) #1,Union Jack (Joseph Chapman)
X-Statix Presents: Dead Girl (2006) #1,X-Men
X-Statix Presents: Dead Girl (2006) #1,X-Statix
X-Statix (2002) #26,X-Men
X-Statix (2002) #26,X-Statix
X-Statix (2002) #25,X-Men
X-Statix (2002) #25,X-Statix
X-Statix (2002) #24,X-Men
X-Statix (2002) #24,X-Statix
X-Statix (2002) #23,X-Men
X-Statix (2002) #23,X-Statix
X-Statix (2002) #22,X-Men
X-Statix (2002) #22,X-Statix
X-Statix (2002) #21,X-Men
X-Statix (2002) #21,X-Statix
X-Men: The Search for Cyclops (2000) #4,Apocalypse
X-Men: The Search for Cyclops (2000) #4,Cable
X-Men: The Search for Cyclops (2000) #4,Cyclops
X-Men: The Search for Cyclops (2000) #4,Jean Grey
X-Men: The Search for Cyclops (2000) #4,X-Men
X-Men: The Search for Cyclops (2000) #3,Cable
X-Men: The Search for Cyclops (2000) #3,Caliban
X-Men: The Search for Cyclops (2000) #3,Cyclops
X-Men: The Search for Cyclops (2000) #3,Jean Grey
X-Men: The Search for Cyclops (2000) #3,X-Men
X-Men: The Search for Cyclops (2000) #2,Cable
X-Men: The Search for Cyclops (2000) #2,Jean Grey
X-Men: The Search for Cyclops (2000) #2,Ozymandias
X-Men: The Search for Cyclops (2000) #2,X-Men
New X-Men (2001) #150,Beak
New X-Men (2001) #150,Beast
New X-Men (2001) #150,Cyclops
New X-Men (2001) #150,Emma Frost
New X-Men (2001) #150,Fantomex
New X-Men (2001) #150,Magneto
New X-Men (2001) #150,New X-Men
New X-Men (2001) #150,X-Men
Iron Man (1968) #150,Iron Man
Zombies Assemble (2017) #2 (Horn Variant),Iron Man
Zombies Assemble (2017) #2 (Horn Variant),Marvel Zombies
Zombies Assemble (2017) #2 (Horn Variant),Thor
X-Statix Presents: Dead Girl (2006) #4,X-Statix
X-Statix Presents: Dead Girl (2006) #3,X-Statix
X-Statix Presents: Dead Girl (2006) #2,Doctor Strange
X-Statix Presents: Dead Girl (2006) #2,X-Men
X-Statix Presents: Dead Girl (2006) #2,X-Statix
X-Statix Presents: Dead Girl (2006) #1,Dead Girl
X-Statix Presents: Dead Girl (2006) #1,Doctor Strange
X-Statix Presents: Dead Girl (2006) #1,Gwen Stacy
X-Statix Presents: Dead Girl (2006) #1,Norman Osborn
X-Statix Presents: Dead Girl (2006) #1,Union Jack (Joseph Chapman)
X-Statix Presents: Dead Girl (2006) #1,X-Men
X-Statix Presents: Dead Girl (2006) #1,X-Statix
X-Statix (2002) #26,X-Men
X-Statix (2002) #26,X-Statix
X-Statix (2002) #25,X-Men
X-Statix (2002) #25,X-Statix
X-Statix (2002) #24,X-Men
X-Statix (2002) #24,X-Statix
X-Statix (2002) #23,X-Men
X-Statix (2002) #23,X-Statix
X-Statix (2002) #22,X-Men
X-Statix (2002) #22,X-Statix
X-Statix (2002) #21,X-Men
X-Statix (2002) #21,X-Statix
X-Men: The Search for Cyclops (2000) #4,Apocalypse
X-Men: The Search for Cyclops (2000) #4,Cable
X-Men: The Search for Cyclops (2000) #4,Cyclops
X-Men: The Search for Cyclops (2000) #4,Jean Grey
X-Men: The Search for Cyclops (2000) #4,X-Men
X-Men: The Search for Cyclops (2000) #3,Cable
X-Men: The Search for Cyclops (2000) #3,Caliban
X-Men: The Search for Cyclops (2000) #3,Cyclops
X-Men: The Search for Cyclops (2000) #3,Jean Grey
X-Men: The Search for Cyclops (2000) #3,X-Men
X-Men: The Search for Cyclops (2000) #2,Cable
X-Men: The Search for Cyclops (2000) #2,Jean Grey
X-Men: The Search for Cyclops (2000) #2,Ozymandias
X-Men: The Search for Cyclops (2000) #2,X-Men
X-Men: The Search for Cyclops (2000) #1,Cable
X-Men: The Search for Cyclops (2000) #1,Cyclops
